ticker,count,avg_abs_error,avg_brier
KXHIGHNY-26FEB10-T39,81,0.3044,0.092716
KXHIGHNY-26FEB10-T32,81,0.5339,0.285014
KXHIGHNY-26FEB10-B38.5,81,0.0297,0.000884
KXHIGHNY-26FEB10-B36.5,81,0.0324,0.001053
KXHIGHNY-26FEB10-B34.5,81,0.0341,0.001163
KXHIGHNY-26FEB10-B32.5,81,0.0344,0.001187
KXHIGHCHI-26FEB10-T47,81,0.3773,0.142656
KXHIGHCHI-26FEB10-T40,81,0.3915,0.154321
KXHIGHCHI-26FEB10-B46.5,81,0.9679,0.936761
KXHIGHCHI-26FEB10-B44.5,81,0.0335,0.001127
KXHIGHCHI-26FEB10-B42.5,81,0.0335,0.001130
KXHIGHCHI-26FEB10-B40.5,81,0.0324,0.001050
KXHIGHDEN-26FEB10-T58,80,0.2841,0.080779
KXHIGHDEN-26FEB10-T51,80,0.5034,0.253713
KXHIGHDEN-26FEB10-B57.5,80,0.0279,0.000780
KXHIGHDEN-26FEB10-B55.5,80,0.0307,0.000949
KXHIGHDEN-26FEB10-B53.5,80,0.0327,0.001076
KXHIGHDEN-26FEB10-B51.5,80,0.0336,0.001132
KXHIGHAUS-26FEB10-T82,78,0.2102,0.044728
KXHIGHAUS-26FEB10-T75,79,0.5178,0.268418
KXHIGHAUS-26FEB10-B81.5,79,0.0344,0.001185
KXHIGHAUS-26FEB10-B79.5,79,0.0420,0.001764
KXHIGHAUS-26FEB10-B77.5,79,0.0478,0.002291
KXHIGHAUS-26FEB10-B75.5,79,0.0502,0.002533
KXHIGHMIA-26FEB10-T79,78,0.1570,0.024840
KXHIGHMIA-26FEB10-T72,78,0.3358,0.112904
KXHIGHMIA-26FEB10-B78.5,78,0.0488,0.002383
KXHIGHMIA-26FEB10-B76.5,78,0.0708,0.005019
KXHIGHMIA-26FEB10-B74.5,78,0.9157,0.838440
KXHIGHMIA-26FEB10-B72.5,78,0.0794,0.006323
KXHIGHPHIL-26FEB10-T42,76,0.3032,0.092664
KXHIGHPHIL-26FEB10-T35,76,0.4642,0.215834
KXHIGHPHIL-26FEB10-B41.5,76,0.0300,0.000901
KXHIGHPHIL-26FEB10-B39.5,70,0.0328,0.001085
KXHIGHPHIL-26FEB10-B37.5,76,0.0346,0.001210
KXHIGHPHIL-26FEB10-B35.5,76,0.0349,0.001238
KXHIGHTSEA-26FEB10-T55,75,0.3377,0.114109
KXHIGHTSEA-26FEB10-T48,75,0.3115,0.097090
KXHIGHTSEA-26FEB10-B54.5,75,0.0482,0.002331
KXHIGHTSEA-26FEB10-B52.5,75,0.9479,0.898428
KXHIGHTSEA-26FEB10-B50.5,75,0.0515,0.002654
KXHIGHTSEA-26FEB10-B48.5,75,0.0464,0.002160
KXHIGHTNOLA-26FEB10-T81,74,0.2119,0.044950
KXHIGHTNOLA-26FEB10-T74,74,0.4522,0.204814
KXHIGHTNOLA-26FEB10-B80.5,74,0.0377,0.001423
KXHIGHTNOLA-26FEB10-B78.5,74,0.0463,0.002152
KXHIGHTNOLA-26FEB10-B76.5,74,0.0524,0.002753
KXHIGHTNOLA-26FEB10-B74.5,74,0.9461,0.895186
KXHIGHTSFO-26FEB10-T63,73,0.2951,0.087583
KXHIGHTSFO-26FEB10-T56,73,0.3460,0.120192
KXHIGHTSFO-26FEB10-B62.5,73,0.0465,0.002164
KXHIGHTSFO-26FEB10-B60.5,73,0.0524,0.002750
KXHIGHTSFO-26FEB10-B58.5,73,0.9462,0.895336
KXHIGHTSFO-26FEB10-B56.5,73,0.0502,0.002522
KXHIGHLAX-26FEB10-T70,73,0.2025,0.041236
KXHIGHLAX-26FEB10-T63,73,0.4319,0.186944
KXHIGHLAX-26FEB10-B69.5,73,0.0400,0.001606
KXHIGHLAX-26FEB10-B67.5,73,0.0504,0.002550
KXHIGHLAX-26FEB10-B65.5,73,0.9425,0.888244
KXHIGHLAX-26FEB10-B63.5,73,0.0586,0.003450
